src_port,dst_port,ip_version,protocol,duration,packet_count,total_bytes,avg_packet_size,packets_per_sec,syn_count,ack_count,fin_count,rst_count,label
0,0,4,OTHER,477.637,4,240,60.0,0.01,0,0,0,0,0
51870,5355,4,UDP,0.41,2,134,67.0,4.88,0,0,0,0,0
57654,5355,4,UDP,0.386,2,134,67.0,5.19,0,0,0,0,0
0,0,6,OTHER,0.001,1,86,86.0,1000.0,0,0,0,0,0
0,0,6,OTHER,0.001,1,86,86.0,1000.0,0,0,0,0,0
0,0,6,OTHER,0.001,1,86,86.0,1000.0,0,0,0,0,0
0,0,6,OTHER,567.956,44,3680,83.64,0.08,0,0,0,0,0
53,36146,4,UDP,0.034,2,224,112.0,58.95,0,0,0,0,0
53,47789,4,UDP,0.036,2,236,118.0,55.32,0,0,0,0,0
53,44153,4,UDP,0.033,2,269,134.5,59.94,0,0,0,0,0
53,37205,4,UDP,0.04,2,247,123.5,49.46,0,0,0,0,0
44134,443,6,TCP,68.316,11,1034,94.0,0.16,11,0,0,0,0
53,41656,4,UDP,0.065,2,248,124.0,30.88,0,0,0,0,0
53,45459,4,UDP,0.062,2,260,130.0,32.03,0,0,0,0,0
44138,443,6,TCP,2.055,3,282,94.0,1.46,3,0,0,0,0
64860,1900,4,UDP,3.407,4,848,212.0,1.17,0,0,0,0,0
64862,1900,4,UDP,3.408,4,848,212.0,1.17,0,0,0,0,0
45076,443,4,TCP,171.811,87,42539,488.95,0.51,2,83,2,3,0
53,42639,4,UDP,0.192,2,232,116.0,10.39,0,0,0,0,0
53,50603,4,UDP,0.137,2,244,122.0,14.55,0,0,0,0,0
53,50412,4,UDP,0.131,2,277,138.5,15.27,0,0,0,0,0
53,38714,4,UDP,0.206,2,229,114.5,9.72,0,0,0,0,0
53,56495,4,UDP,0.073,2,241,120.5,27.25,0,0,0,0,0
53,60580,4,UDP,0.095,2,247,123.5,21.08,0,0,0,0,0
53,53820,4,UDP,0.096,2,271,135.5,20.84,0,0,0,0,0
53,60961,4,UDP,0.098,2,212,106.0,20.41,0,0,0,0,0
53,41104,4,UDP,0.098,2,192,96.0,20.37,0,0,0,0,0
53,60224,4,UDP,0.135,2,284,142.0,14.79,0,0,0,0,0
53,34596,4,UDP,0.109,2,254,127.0,18.27,0,0,0,0,0
53,34124,4,UDP,0.107,2,251,125.5,18.7,0,0,0,0,0
53,46118,4,UDP,0.167,2,291,145.5,11.96,0,0,0,0,0
53,50016,4,UDP,0.187,2,296,148.0,10.69,0,0,0,0,0
53,44565,4,UDP,193.767,4,481,120.25,0.02,0,0,0,0,0
53,38755,4,UDP,0.299,2,390,195.0,6.7,0,0,0,0,0
53,53819,4,UDP,0.242,2,253,126.5,8.27,0,0,0,0,0
53,53254,4,UDP,0.27,2,266,133.0,7.4,0,0,0,0,0
53,43317,4,UDP,0.27,2,290,145.0,7.41,0,0,0,0,0
53,37198,4,UDP,0.324,2,298,149.0,6.18,0,0,0,0,0
53,40583,4,UDP,0.105,2,258,129.0,19.1,0,0,0,0,0
53,36613,4,UDP,0.149,2,250,125.0,13.4,0,0,0,0,0
53,56599,4,UDP,0.147,2,327,163.5,13.59,0,0,0,0,0
53,40991,4,UDP,0.143,2,268,134.0,14.0,0,0,0,0,0
53,38672,4,UDP,0.006,2,280,140.0,311.8,0,0,0,0,0
53,57359,4,UDP,0.083,2,260,130.0,24.21,0,0,0,0,0
55512,443,4,UDP,0.319,20,10411,520.55,62.7,0,0,0,0,0
44142,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
45086,443,4,TCP,171.545,41,8145,198.66,0.24,2,39,2,1,0
53,39796,4,UDP,0.042,2,250,125.0,47.06,0,0,0,0,0
53,51633,4,UDP,0.04,2,327,163.5,50.36,0,0,0,0,0
53,52193,4,UDP,0.042,2,327,163.5,48.13,0,0,0,0,0
58838,443,4,TCP,0.945,23,7453,324.04,24.34,2,22,2,0,0
58848,443,4,TCP,0.888,23,7453,324.04,25.9,2,22,2,0,0
58864,443,4,TCP,0.888,22,7387,335.77,24.76,2,21,2,0,0
53,49726,4,UDP,0.027,2,311,155.5,73.15,0,0,0,0,0
53,55484,4,UDP,42.656,4,648,162.0,0.09,0,0,0,0,0
53,34300,4,UDP,0.006,2,388,194.0,347.86,0,0,0,0,0
53,53877,4,UDP,0.025,2,315,157.5,79.34,0,0,0,0,0
53,59108,4,UDP,0.002,2,315,157.5,1213.45,0,0,0,0,0
58870,443,4,TCP,246.188,414,236025,570.11,1.68,2,413,2,0,0
44732,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
44746,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
44752,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
44760,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
44772,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
44774,443,6,TCP,0.001,1,94,94.0,1000.0,1,0,0,0,0
55570,443,4,TCP,0.715,23,7365,320.22,32.16,2,19,2,3,0
55576,443,4,TCP,0.713,21,7245,345.0,29.45,2,18,2,2,0
55580,443,4,TCP,407.109,205,90187,439.94,0.5,2,204,2,0,0
55588,443,4,TCP,0.825,22,7335,333.41,26.67,2,21,2,0,0
53,49789,4,UDP,0.141,2,216,108.0,14.2,0,0,0,0,0
53,35410,4,UDP,0.139,2,228,114.0,14.42,0,0,0,0,0
47626,443,6,TCP,0.653,2,188,94.0,3.06,2,0,0,0,0
5353,5353,4,UDP,248.584,21,1737,82.71,0.08,0,0,0,0,0
60188,443,4,TCP,466.933,133,50558,380.14,0.28,2,131,0,1,0
53,38657,4,UDP,0.074,2,279,139.5,26.91,0,0,0,0,0
53,46572,4,UDP,0.076,2,291,145.5,26.46,0,0,0,0,0
53,48292,4,UDP,0.076,2,324,162.0,26.19,0,0,0,0,0
53,43333,4,UDP,0.079,2,247,123.5,25.39,0,0,0,0,0
47632,443,6,TCP,68.324,11,1034,94.0,0.16,11,0,0,0,0
